word,meaning
apparently," adj. 显然,似乎
adv. 显然"
active," adj. 积极的；活跃的；主动的；有效的；现役的
n. 主动语态；积极分子"
Sumerian," n. 苏美尔人，苏美尔语
adj. 苏美尔人的，苏美尔语的"
tropical," adj. 热带的, 炎热的, 热带植物的"
tropic," n. 回归线,热带
adj. 热带的,向性的"
tissue," n. (动、植物的)组织,薄的纱织品，餐巾纸,手巾纸"
strike," n. 罢工, 打击, 殴打
v. 打, 撞, 罢工, 划燃"
squirrel," n. 松鼠, 松鼠皮毛
vt. 储存"
raw," adj. 生的,未加工的,原始的,不熟练的,寒冷的
n. 触到某人的痛处"
prove," v. 证明, 查验, 显示"
disprove," vt. 证明...是不对的, 提出...的反证"
pole," n. 极(点),杆子
vt. 跳,支撑
vi. 用篙撑船"
personal," adj. 私人的,个人的
n. (报刊的)私人专栏"
personality," n. 个性, 名人, 特色"
permanently, adv. 永久地
permanence," n. 永久, 持久"
vertebrate," adj. 脊椎的，脊椎动物的
n. 脊椎动物"
invertebrate, n.&amp;adj. 无脊椎的(动物)
press," vt.压，按； 逼迫； 紧抱
vi.压； 逼迫； 重压
n.强迫征兵； 新闻报道，出版物； 压榨； 印刷机（厂）"
tribe," n. 部落,种族,一伙人"
physics, n. 物理学
physic," n. 药，医术，治疗
vt. 治疗，给 ... 服药
n. <古>自然科学"
liquid," adj. 液体的, 液态的
n. 液体"
item," n. 项目,条款， 一件商品（或物品）
adv. 也"
import," n. 进口
vi. 进口,输入
vt. 输入,进口"
health," n. 健康,卫生,保健"
groundwater, n. 地下水
export," vt. 输出，出口
n. 出口,输出品
vi. 传播,输出
adj. 出口的"
explosion," n. 爆炸,爆发,激增"
expectation," n. 期待,期望
v. 期待,前程"
electron, n. 电子
electronic, adj.电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的
aurora," n. 曙光, 北极光 
Aurora：[罗神]黎明的女神"
whereas," conj.&amp;adv. 然而,却,反之"
Venus, n. [天] 金星；维纳斯（爱与美的女神）
vent," n. 排气口, 表达, 发泄, 火山口
vt.&vi. 发泄, 表达, 排放"
valuable," adj. 贵重的, 有价值的
n. (pl.)贵重物品"
universe, n. 宇宙
universal," adj. 普遍的,通用的,宇宙的
n. 通用"
universality," n. 普遍性, 一般性"
unique," adj. 独一无二的, 独特的, 稀罕的"
topic," n. 题目, 话题, 主题"
electronically, adv. 电子地
document," n. 文件,公文
vt. 记载,用文件等证明
[计算机] 文档"
depict," vt. 描述,描绘"
column, n.纵队，列； 圆柱； 专栏
civil," adj. 国内的,公民的,文明的, 有礼貌的, 民用的"
civilization," n. 文明,文化"
carving," n. 雕刻品, 雕刻, 雕刻术
动词carve的现在分词"
carve," vt.& vi. 雕刻,切割"
atom, n. 原子
steel," n. 钢,钢制品,坚强
adj. 钢的,如钢铁般的,非常坚强的
vt. 包钢, 使坚硬, 使下定决心"
rite," n. 仪式, 典礼"
recognize," vt. 认出,认可,承认,意识到,表示感激"
recognition," n. 认出,承认, 感知，知识"
prior," adj. 更重要的, 较早的, 在先的
adv. 居先
n. 小修道院院长; 大修道院副院长"
priority," n. 优先权, 优先顺序, 优先"
primitive," adj. 原始的
n. 原始人,文艺复兴前的艺术家"
president," n. (国家)总统,(公司)总裁,总经理,社长(日本)"
presidency, n. 总统（总裁、主席等）的职位（或任期）
presidential, adj. 总统的
ordinary, adj. 普通的
extraordinary," adj. 非凡的,特别的,特派的"
mineral," adj. 矿物的
n. 矿物, 矿石"
livestock," n. 家畜, 牲畜"
introductory," adj. 介绍的, 引导的, 开端的"
financial," adj. 金融的,财政的"
employ," vt. 使用, 雇用, 使忙于
n. 使用, 雇用"
employee, n. 雇员
employer, n. 雇主
employment," n. 工作,职业,雇用,使用"
ecological," adj. 生态的, 生态学的"
distribution," n. 分发, 分配, 散布, 分布"
distribute," vt. &vi. 分配,散布"
cucumber, n. 黄瓜
canopy," n. 天篷, 遮篷, 苍穹"
conduct," n. 行为, 举动, 品行
v. 引导, 指挥, 管理
vt. 导电, 传热"
conductor, n. 售票员，导体，指挥
appeal," n. 恳求, 上诉, 吸引力
n. 诉诸裁决
v. 求助, 诉请, 呼吁; 有吸引力"
academy," n. 学院,学术,学会"
academic," n. 教学人员,学术人员
adj. 学院的,理论的,学术性的"
thereby," adv. 因此,从而"
stress," n. 紧张, 压力
v. 强调, 着重
vt. 强调
n.负载"
sanctuary," n. 圣所, 耶路撒冷的神殿, 至圣所"
retain," vt. 保持, 保留; 记住"
restrict," v. 限制,约束"
regular," adj. 有规律的,有规则的,整齐的,正规的"
irregular," n. 不合规格之物
adj. 不规则的, 不整齐的, 不合法的"
reduce," vt.换算； 约束； 使变为； 使变弱
vi.减少； 减轻体重； [生物学]（细胞）减数分裂； （液体）浓缩变稠"
reduction," n. 减少,缩小, (化学)还原反应, (数学)约分"
raise," n. 上升, 增高; 高地
vt. 升起, 举起, 饲养; 提出, 引起"
railroad," n. 铁路
=railway（英）
vt. 由铁道运输，使（议案等）草草通过
vi. 在铁路公司工作"
previous," adj. 在...之前, 先, 前, 以前的"
previously, adv. 以前(预先)
pool," n. 水塘(池),游泳池,撞球
vi. 形成池塘
vt. 集中,积累"
nouveau, adj. 新近到达的，最近产生的
mud," n. 泥,泥浆,恶意诽谤和攻击
vt. 弄脏,污蔑"
muddy," adj. 泥泞的,肮脏的,混浊的
v. 弄脏,使...混浊,使迷惑"
hypothesis," n. 假设, 猜测, 前提"
hypothetical," adj. 假设的, 假定的, 爱猜想的"
hypothesize," v. 假设, 假定, 猜测"
gap," n. (意见、个性等的)差异,缝隙,漏洞,缺口
vt. 制造缺口
嘉普(财富500强公司之一，总部所在地美国,主要经营服装零售)"
erode," vt. 腐蚀,侵蚀
vi. 受到侵蚀"
ecologist, n. 生态学家
crack," vt.破裂，打开； （使…）开裂； 说（笑话）； 开瓶
vi.断裂，折断； 碎裂声，爆裂声； 镜子破裂了； 失去控制，衰退
n.裂缝； 试图； 缝隙； （可听到响声的）重击
adj.训练有素的； 技艺高超的； 优秀的； 一流的"
corn," n. 谷物,谷粒,陈词滥调,鸡眼
vt. 使成颗粒状,用盐水腌制,用谷物喂
vi. 变成颗粒"
compound," n. 混合物,复合词
adj. 复(混)合的,合成的
vt. 混合,调合,妥协
vi. 混合,妥协"
commonly," adv. 一般地,通常地，普通地"
accelerate," vt. 加速,提前,跳级
vi. 加速"
well," n. 井,源泉,楼梯井
adj. 健康的,良好的,适宜的
adv. 很好地,适当地
vi. 涌出
interj. 好吧,啊"
view," n. 视野,风景,见解,方法,检查
vt. 把...视为,看,考虑"
upon, prep. 在...上
string," n. 线,一串,字串
vt. 串起,成串,收紧, 悬挂；系；扎
vi. 给…装弦
adj. 线的"
silver," adj. 银色的,银的
n. 银,银币,银器
vt. 镀银,变成银白色"
silversmith, n. 银器匠
sheet," n. 床单,张,片
vt. 盖上被单,遍布, 使成片状
vi. 成片落下或流动
adj. 片状的"
worksheet, n. (学生的)活页练习题，工作记录表
branch," n. 分支,树枝
vt &vi. 分支, 分岔"
block," n.块； 街区； <英>大楼，大厦； 障碍物，阻碍
vt.阻止； 阻塞； 限制"
availability," n. 有效,有用,有益；可得到的人(或物)"
attack," vt.& vi.攻击，进攻，抨击
n.攻击； 抨击； （队员等的）进攻； （疾病）侵袭
vt.抨击； 非难； 侵袭； 损害"
article," n. 文章,物品,条款,冠词
vt. 定契约"
ancestor," n. 祖宗,祖先,原种"
alder, n. [植]桤木
responsible," adj. 有责任的,负责的,责任重大的,应负责的"
responsibility," n. 责任, 可信度，责任心"
resistance," n. 抵抗力,反抗,反抗行动;阻力,电阻;反对
adj.  抵抗的"
resistant," adj. 抵抗的,反抗的
n. 抵抗者"
resist," v. 抵抗, 耐得住, 压制
n. 保护膜"
remarkable," adj. 显著的, 异常的, 非凡的, 值得注意的"
proportion," n. 比例,均衡,部分
vt. 使成比例,使均衡,分摊"
disproportionate, adj. 不成比例的
prevent," v. 预防, 防止"
perspective," n. 远景, 看法, 透视
adj. 透视的"
oral," adj. 口头的
n. 口试"
hominid," n. 原始人类
adj. 灵长类的"
goal, n. 目标，目的； 球门； 终点；
gather," vt.收集； 聚集，搜集； 收紧，收缩； 采集
vi.逐渐增加，积聚
n.聚集； 衣褶"
dye," n. 染料,染色
vt. 染
vi. 染色"
decline," n. 衰微, 跌落; 晚年
v. 降低, 婉谢"
consist," n. 组成
vi. 组成,存在,一致"
consistent," adj. 始终如一的, 一致的, 坚持的"
tuna, n. 金枪鱼
response," n. 反应, 响应; 回答"
specific," adj. 特殊的, 明确的, 具有特效的
n. 特效药, 特性, 详情"
specifically," adv. 特定地,明确地"
promote," vt. 促进, 提升, 升迁; 发起; 促销"
promotion," n. 促进,提升,推广"
audience," n. 听众, 观众, 读者, 拥护者, 倾听, 正式会见"
acorn," n. 橡实, 橡子"
traditional, adj. 传统的
tradition," n. 传统, 惯例"
stability," n. 稳定性,居于修道院"
spot," n. 污点, 地点, 斑点; 职位
adj. 当场的, 现实买卖的
v. 使沾上污点, 认出, 用灯光照射"
sculptor, n. 雕刻家
obtain," vt. 获得, 得到
vi. 通用, 流行, 存在"
compose," vt. 组成, 写作, 作曲, 使镇静
vi. 创作"
composition," n. 作文,著作,组织,合成物，成份"
composer, n.创作者（尤指乐曲的）
volcanic, adj. 火山的，猛烈的
volcano, n. 火山
vast," adj. 广阔的,巨大的
n. 浩瀚的太空"
trail," n. 踪迹,小径,尾
vi. 拖,尾随,追踪,落后于
vt. 拖拽,追踪"
renaissance," n. 文艺复兴,再生"
religion, n. 宗教;宗教信仰
religious," adj. 宗教的,虔诚的,细心的
n. 修道院成员, 僧侣"
reaction," n. 反应,反作用力,化学反应"
nitrogen, n. 氮
melt," n. 熔化,熔化物
vt. &vi. 熔化,溶解, 软化, 渐渐混合"
landscape," n. 风景,山水,风景画
v. 美化…的景观,进行造园工程"
evolution," n. 进化, 发展, 进展"
evolutionary," adj. 发展的(展开的,调优的)"
eventually," adv. 终于, 最后"
distinguish," vt. 区别,辨认,特别关注
vi. 区别"
core," n.中心，核心，精髓； 果心，果核； [地质学]地核； [计] 磁心
vt.去（果）核，挖去…的果心； 提取岩芯（样品）"
react," vt. 作出反应
vi. 起反应, 起作用, 反攻"
petroleum, n. 石油
observation," n. 观察,观察力,评论
adj. 被设计用来观察的"
oak," n. 橡树, 橡木
adj. 橡木制的"
normally," adv. 正常地,通常地"
focus," n. 焦点, 焦距
v. 集中, 聚集, 使集中"
flight," n.（物体的）飞行； 航班； 飞翔； 楼梯的一段
vi.成群地迁徙或飞行
vt.射击； 使惊飞"
feather," n. 羽毛,心情,种类,服饰
vt. 用羽毛装饰
vi. 长出羽毛"
evolve," vt. &vi. 进展,进化,展开"
estimate," n. 估计, 估价
v. 估计, 估价, 评价"
crust," n. 外壳,坚硬的外壳,面包皮
vt. 盖以硬皮
vi. 结硬皮"
crustal, adj. 地壳的，外壳的
conflict," n.冲突； 战斗； 相互干扰； 矛盾
vi.抵触； 争斗； 战斗； 冲突"
compete," v. 竞争, 对抗"
competition," n. 比赛,竞争"
competitor," n. 竞争者,对手"
competitive," adj. 竞争的, 比赛的"
combine," n. 集团,联合收割机
v. 化合,结合,联合
vi. 结合,联合
vt. 使结合,使联合"
combination," n. 结合,联合，联合体"
ritual," n. 仪式,典礼,宗教仪式,固定程序
adj. 仪式的,依仪式而行的，老规矩的，惯常的"
release," n. 释放, 让渡, 发行
vt. 释放, 让与, 准予发表, 发射"
performance, n.表演； 演技； 表现； 执行
muscle," n. 肌肉
vt. 用力挤
vi. 用力进行"
era," n. 纪元, 时代, 年代"
device," n. 装置, 设计, 策略, 设备"
decrease," n. 减少(量),降低
vt.& vi. 减少,降低"
throughout," adv. 到处, 自始至终
prep. 遍及, 贯穿"
standard," n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱
adj.标准的，合格的； 普遍的，一般的； 公认为优秀的"
scale," n. 鳞, 刻度, 衡量, 数值范围
v. 依比例决定, 攀登"
root," n. 根,根源,祖先
vt. &vi. 生根,扎根,翻寻,起源于"
bottom," n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头
adj. 底部的
vt. 给...装底,建立基础,到达底部
vi. 到达底部,垫底，降到最低点"
biological, adj. 生物学的
biologist, n. 生物学家
microbiologist, n. 微生物学家
aquifer, n. 含水土层(含水量足以成为井水或泉水)
tone," n. 音调,语气,品质,调子,色调
vt. 使更健壮,装腔作势地说, 定调, 调色
vi. 调和(颜色), 呈现悦目色调"
solar," adj. 太阳的,太阳能的"
revolution," n. 革命, 旋转, 转数"
revolutionary," adj. 革命的
n. 革命者"
practise," vt. 实践(使...练习, 养成...的习惯)"
practice," n. 练习, 实行, 习惯; 业务
vt. &vi 练习, 实习, 开业"
Philadelphia, n. 费城
hydrogen, n. 氢
dramatic," adj. 戏剧性的,引人注目的,给人深刻印象的"
drama," n. 剧本,戏剧,戏剧性情节,刺激"
display," n. 显示,陈列,炫耀
vt. 显示,表现,夸示"
climax," n.顶点，极点； 高潮； 层进法； [生物学]顶极群落
vt.& vi.达到顶点； 达到巅峰； 使达到高潮； 使达到性高潮"
character," n. 个性, 品质; 字符; 人物; 名誉; 地位"
prey," n. 被掠食者,牺牲者
vi. 捕食,掠夺,使...苦恼"
microscope, n. 显微镜
microscopic, adj. 显微镜的，极小的，微观的
metal," n. 金属,质料
adj. 金属制的
v. 以金属覆盖"
metallic, adj. 金属的
helium, n. 氦
frame," n. 框,结构,骨架
v. 构成，把...框起来，陷害
adj. 木结构的"
continent," n. 大陆, 洲, (the Continent)欧洲大陆"
continental, adj. 大陆的
supercontinent, n. [地]超大陆
contemporary," n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
claim," n. 要求,要求权;主张,断言,声称;要求物
vt. 要求,请求；主张,声称,断言"
tension," n. 紧张,张力,拉力
vt. （使金属线、帆等）拉紧"
task," n. 工作,任务
vt. 交给某人（任务)"
stimulate," vt. 刺激,激励,鼓舞
vi. 起刺激作用"
spread," n. 传布, 伸展
adj. 扩延的
v. 传布, 推广, 伸出"
solid," adj. 固体的,结实的,可靠的,实心的
n. 固体,实心"
bury, vt.埋葬，葬； 为…举行葬礼； 隐藏，埋藏，遮盖，掩蔽； 专心致志于，埋头于，沉溺于
burial," n. 埋葬，葬礼,坟墓"
attitude," n. 态度, 看法, 姿势"
therefore," adv. 因此, 所以"
subject," n. 科目, 主题; 缘由
n. (君主国)国民; 实验对象
adj. 服从的, 易患的
vt. 使隶属, 使服从; 使遭遇"
be subjected to," 使经受, 使遭受"
stable," adj. 稳定的；牢固的；坚定的
n. 马厩；牛棚
vi. 被关在马厩
vt. 赶入马房"
unstable, adj. 不稳定的，易变的
solidify," vt. 使牢固，使团结
vi. 变坚固，变结实"
present," n. 礼物, 现在
adj. 当面的, 出席的, 现在的
v. 赠送, 提出, 呈现"
presence," n. 出席,在场者,举止"
pot," n. 罐,壶,一大笔(钱)
vt. 把...装罐,(台球)入袋"
measure," n. 措施, 办法, 量度, 尺寸
v. 测量, 量"
measurement," n. 测量,衡量,尺寸,大小"
immeasurably," adv. 无法计量地, 无限地"
irrigation, n. 灌溉
irrigate," vi. 进行灌溉
vt. 灌溉"
improvement," n. 改进, 改善"
improve," vt. 改进,利用,(提高)价值
vi. 改进"
sign," n. 符号, 正负号, 手势, 迹象, 招牌
v. 签, 做手势, 做标记"
route," n. 航线,路线,途径
vt. 按路线发送, 改变路线"
prefer," vt.更喜欢； 提升，提拔； 给予（债权人）优先权； 提出（控告）
vi.更喜欢，宁愿"
preference," n. 偏爱,优先,喜爱物"
opportunity," n. 机会, 时机"
opportunist," n. 机会主义者, 投机者
adj. 机会主义者的"
opportunistic, adj. 机会主义的，投机取巧的
intense," adj. 非常的,强烈的,紧张的,热情的"
intensive," adj. 强烈的, 密集的, 精细的, 强调的
n. (语法)强调成份"
intensity," n. 激烈,强度,强烈,剧烈"
intensify," vt. 增强(强化,加剧,加厚,增高银影密度)"
global," adj. 全球性的, 全局的"
flow," vi.流； 垂； 流出； （谈话、文体等）流畅
n.流动； 滔滔不绝； 涨潮； 连贯
vt.使泛滥； 淹没； 排出"
figure," n. 图形, 数字, 形状; 人物, 外形, 体型
v. 演算, 认为, 领会到"
familiar," adj. 熟悉的,熟知的,不拘礼节的
n. 熟人,熟悉某种事物的人"
differ," vi. 不一致,不同(意见)"
differentiate," vt. 识别, 使差异, 求导数, 区分, 区别对待
vi. 区别,变异"
diet," n. 日常饮食，规定饮食
vt. 照规定饮食
adj. 低卡路里的"
dietary," adj. 饭食的, 饮食的
n. 规定的食物, 饮食的规定"
decoration," n. 装饰, 装饰品"
decorate," vt. 装饰, 装修, 授予某人奖章或其他奖状"
decorative, adj. 装饰的，可作装饰的
visible," adj. 可见的, 看得见的"
invisible," adj. 看不见的,无形的
n. 隐形人(或物品)"
desire," n. 愿望, 欲望, 情欲
v. 向往, 要求, 请求
vt. 渴望"
desirable," adj. 值得有的,令人满意的,有吸引力的
n. 有吸引力的人"
undesirable," adj. 不受欢迎的, 不良的，不合意的，讨厌的
n. 不受欢迎的人，不良分子"
compare," vt.&vi. 比较,比喻,对照
n. 比较，对照"
comparison, n. 比较
comparable," adj. 可比较的, 比得上的"
comparatively," adv. 比较地,相当地,多少"
communication," n. 沟通,交通"
communicate," vt. 传达, 传播
vi. 交流, 沟通, 联通"
citizen," n. 公民, 市民"
center," n. 中心, 中间, 主角, 中锋, 重点
vi. 居中, 聚焦于...
vt. 使集中, 放在中央"
shelter," n. 庇护所,避难所,庇护
vt. &vi. 庇护,保护,隐匿"
resemble," v. 相似, 类似, 像"
principal," adj. 主要的
n. 负责人, 校长, 资本"
maintain," vt. 维持; 维修, 保养; 坚持; 断言"
maintenance," n. 维护, 保持, 维修, 生活费用
n. 供给, 抚养; 主张"
fungi," n. 菌类, 蘑菇"
lichen," n. 地衣, 青苔"
emerge," vi. 浮现, (由某种状态)脱出, (事实)显现出来"
emergence, n. 出现
benefit," n. 利益, 津贴; 义卖, 义演
vt. 有益于
vi. 得益"
beneficial," adj. 有益的,有利的"
arch," n. 拱门,弓形
vt. 使成弓形弯曲, 拱起
vi. 成弓形, 用拱连接
adj. 主要的,调皮的"
analyze," v. 分析,分解
vt. 分析"
analysis," n. 分析, 解析"
analyst, n. 分析家
worth," adj.值得的； 有…的价值； 等值的； 有…的财产
n.财富，财产； 价"
trace," n. 痕迹,踪迹,微量
vt. 追踪,找出根源,描绘
vi. 追踪"
texture, n. 质地；纹理；结构；本质，实质
textural," adj. 组织上的, 构造上的"
surface," n. 表面,平面, 外表
adj. 表面的,肤浅的
vt. 在某物上加表层, 使...成平面
vi. 浮到水面, 披露出来, 在表面工作"
subsurface," adj. 地下的，表面下的
n. 地表下岩石"
ray," n. 光线, 射线, 雷(男子名)"
permit," n. 许可证,执照
vt. &vi. 允许,许可"
perfect," adj. 完美的；最好的；精通的
vt. 使完美；使熟练
n. 完成式"
master," n. 主人, 硕士, 母机
adj. 主人的, 主要的
v. 征服, 控制, 精通"
fit," adj. 适宜的,对的,准备好的
v. 适合,安装
n. 适宜,发作,一阵"
exhibition," n. 展览,展览会"
exhibit," n. 展览品,展览,物证
vt. 展览，展现，显出(感情或品质),提出证据
vi. 展览"
exhibitor, n.展出者； 参展商
effort," n. 努力, 努力的成果"
dominate," v. 支配, 占优势，俯视"
dominant," adj. 占优势的，主导的，显性的
n. 主宰者"
dominance," n. 支配(控制, 统治, 权威, 优势)"
dinosaur," n. 恐龙
n.(俚)过时、落伍的人或事物"
detail," n. 细节,详情,部分,分派
vt. 详述,选派,用小元素装饰
vi. 画细节"
depression," n. 沮丧,萧条"
depressed," adj. 沮丧的,降低的 vt. 压低,使沮丧,削弱(depress的过去式及过去分词)"
charge," n. 电荷, 指控, 费用; 照顾, 责任
vt. &vi 控诉, 加罪于, 要价, 赊帐, 充电, 管理"
recharge, v. 再充电，（给枪）再装弹药，再进攻
belief," n. 相信, 信念, 信仰"
basin," n. 脸盆, 盆地, 流域, 水池"
adopt," v. 采用, 收养, 接受"
adoption," n. 采用, 采纳, 收养"
vapor, n. 蒸汽
evaporate," v. 蒸发, 失去水分, 消失"
reveal," vt. 显示, 透露
n. (外墙与门或窗之间的)窗侧, 门侧
n. (汽车的)窗框"
typical," adj. 典型的, 有代表性的"
typically," adv. 代表性地, 作为特色地"
turbine, n. 涡轮
transform," vt. 转换,变形
vi. 改变
n. 变形"
transformation," n. 转型,转化,改造"
strength," n. 力量,力气,长处,强度"
strengthen," vt. &vi. 加强,变坚固"
scholar, n. 学者，获奖学金的学生
rent," n. 租金
v. 租
vi. 出租
vt. 出租,租用"
rental," n. 地租的,总额,地租收入
adj. 租借的,地租的"
property, n. 财产; 性质; 道具
practical," adj. 实际的,实用的,明智的
n. 实践考试"
photograph," n. 相片
vi. 照相,摄影
vt. 给...照相"
photography, n. 摄影术
photographic, adj. 摄影的，逼真的
perform," v. 执行, 表演, 做"
performer," n. 表演者, 执行者"
motion," n.运动； 手势； 动机，意向； 请求
vt.打手势； 向某人点头或摇头示意； 打手势要求[指示]
vi.运动； 打手势"
minor," adj. 次要的, 较小的, 二流的, 未成年的
n. 未成年人, 辅修科目, [音乐]小调
vi. 辅修"
machinery," n. (总称)机器, 机械"
crystal," adj. 清澈透明的, 晶体的
n. 水晶, 结晶"
crystalline," adj. 水晶(般)的, 水晶做的，透明的"
canal," n. 运河,沟渠,气管,食管
vt. 建运河,疏导"
loose," n. 解放, 放任, 放纵
adj. 宽松的, 不牢固的, 不精确的
v. 释放, 放枪, 开船"
profit," n. 利润, 盈利比率，利益
vi. 利用，获利
vt. 有益于"
profitable," adj. 有益的, 有用的"
internal," adj. 国内的, 内在的，身体内部的"
inhabitant, n. 居民
inhabit," v. 居住于, 占据, 栖息"
ideal," adj. 理想的, 完美的, 高尚的
n. 理想, 典范, 目标"
chimpanzee, n. 黑猩猩
feed," vt.喂养； 满足（欲望等）； 向…提供； 供…作食物
vi.吃，以…为食； 流入，注入，进入（如油流入机器）； [电子学]馈入
n.饲料（尤指粗饲料），施肥； 喂送； 草料"
feedback," n. 反馈,成果"
expansion," n. 扩大,膨胀,扩充"
expand," vt. 增加,详述,扩展,使...膨胀
vi. 扩展,增加,详述"
solution," n. 解答, 解决办法, 溶解, 溶液"
portray," v. 描写,描写...的肖像,逼真地描写"
parlor," n. 客厅, 接待室，(旅馆中的)休息室，小店
adj. 用于接待室（客厅，休息室，小店）的"
merchant," n. 商人,店主,专家
adj. 商业的"
extreme," adj. 极度的,极端的,尽头的,严重的,末端的
n. 极端,极限"
extremely," adv. 极其, 非常"
dust," n. 灰尘,无价值之物,屈辱状态
vt. 拂去灰尘, 撒上粉状物体,大胜
vi. 擦拭灰尘"
comet, n. 彗星
extend," v. 扩充, 延伸, 伸展, 扩展"
enhance," vt. 提高,加强,增加"
edge," n. 边,边缘,刀口
vt. 给...加上边,缓慢横过,使逐渐丧失
vi. 徐徐前进"
due to," 因为,由于
预定,预期"
domestic," adj. 国内的, 家庭的, 驯养的
n. 家仆, 佣人"
dissolve," vt. 消除,解散,使溶解,解决(问题),使沮丧
vi. 消散,溶解, 解散, 液化,变得模糊
n. 叠化画面"
consciousness," n. 意识,知觉,自觉,觉悟"
concentration," n. 集中, 专心, 浓度"
concentrate," vt.& vi.专心于； 注意； 集中； 聚集
vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集
vi.凝缩，浓缩，提纯
n.浓缩物
adj.集中起来的，经过浓缩的"
coast," n. 海岸,海滨,滑坡
vt. 沿海岸而行
vi. 下滑"
coastal," adj. 海岸的,沿海的,沿岸的"
coastline, n. 海岸线
apprentice," n. 学徒
v. 使当学徒"
acquire," vt. 占有,获得,取得,学到"
watercolor," n. 水彩颜料，水彩画（法）
adj. 水彩(画)的"
conscious," adj. 神志清醒的,意识到的,自觉的,有意的
n. 意识"
temperate," adj. 温和的, 适度的, 有节制的"
serve," v. 可作...用, 服务, 对待, 发球
n. 发球"
representative," adj. 代表性的, 代议制的, 典型的
n. 代表, 众议员, 典型"
representation," n. 表示法,表现,陈述，答辩"
portion," n. 部分,份,命运
v. 将...分配,分配"
pore," n. 毛孔, 小孔
v. 熟读, 熟视, 细想"
porous," adj. 可渗透的, 多孔的"
porosity," n. 多孔性, 有孔性"
peak," n. 山顶,顶点,帽舌
vi. 到达高点,消瘦
vt. 使到达顶峰,竖起
adj. 处于顶峰状态的"
occasionally, adv. 偶尔地
occasional," adj. 偶然的, 不时的"
occasion," n. 场合,机会,理由
vt. 致使,惹起,引起"
threat," n. 威胁, 凶兆"
issue," n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
hind," n. 雌鹿，石斑鱼
adj. 后部的, 在后的"
gill," n. 鳃, 及耳(液量单位）
vt. 用刺网捕鱼
vi. 被缠在刺网中"
generation," n. 代, 一代"
frontier," n. 边界,边境，尖端，边缘"
fort," n. 堡垒, 要塞"
federal," adj. 联邦的
n. 同盟盟友"
emit," v. 发出,放射,吐露
[计算机] 发射"
emission," n. 发射, 射出, 发行"
data," n. (datum的复数)资料,数据"
cultivate," vt. 培养,耕作,栽培,结交(朋友), 促进增长, 教养"
cultivation," n. 教化, 培养, 耕作"
conventional," adj. 普通的,常见的,习惯的,常规的"
convention, n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
attempt," vt.试图； 尝试
n.进攻； 尝试，冲击"
assume," vt. 假定, 设想, 承担; (想当然的)认为"
assumption," n. 假定,设想,担任(职责等),假装"
wing," n. 翅膀,翼
vt. 给...装上翼,飞行
vi. 飞行"
wealthy," adj. 富有的
n. 富人"
virtually," adv. 几乎,实际上"
trade," n. 贸易,商业,交易,行业,同行,手工艺,主顾,(复数)信风
vi. 做生意,购物,交换
vt. 用某物交换,做买卖
adj. 商业的,专业性的,同行的"
survey," n. 调查; 纵览, 视察, 测量
vt. 审视, 视察, 通盘考虑, 调查; 勘测
vi. 测量, 勘测"
surveyor, n. 测量员(检查员)
sufficient," adj. 足够的, 充分的"
insufficient, adj. 不足的
suck," v. 啜,吸,吸入,吮吸 
&lt;俚&gt;糟糕, 太烂了"
storage," n. 储存体, 储藏, 仓库, 保管费"
spontaneous," adj. 自发的, 自然产生的"
sophisticate," n. 久经世故的人
vt. 玩弄诡辩,掺合,弄复杂"
sophistication," n. 老练，精明，复杂，精密，有教养，诡辩, 强词夺理"
skull," n. 头骨,骷髅头
vt. 击打头部"
shell," n. 贝壳,壳,外形
vt. &vi. 去壳,脱落,炮击,拾贝壳
n.[计算机] DOS命令 : 安装备用的COMMAND.COM文件, 并改变环境尺寸"
eggshell, n. 蛋壳
shellfish," n. 贝,甲壳类动物"
semiarid, adj. 雨量非常的少的
arid," adj. 干燥的, 不毛的
adj. 枯燥的，无趣的"
script," n. 原稿,手稿,脚本
vi. 写剧本"
plankton, n. 浮游生物
participant," adj. 参与的
n. 参加者,参与者"
participate," vi.参加某事； 分享某事
vt.得到或接受某部分东西"
participation," n. 参加, 参与"
naturally," adv. 自然地,天生地"
naturalist," n. 自然主义者, 博物学者"
naturalistic," adj. 自然的,自然主义的,博物学的"
musician, n. 音乐家，作曲家
multiple," adj. 许多,多种多样的
n. 倍数,并联"
mantle," n. 斗篷, 覆罩之物, 罩子
v. 罩住, 覆盖, 脸红"
inevitable," adj. 不可避免的, 必然(发生)的"
historian, n. 历史学家，编史者
fresh," adj.新鲜的； 淡水的； 新的； 无经验的
adv.刚； 最新的
n.开始； 新生； 泛滥； 淡水流"
freshwater," adj. 淡水的，内河（航行）的
n. 淡水"
refresh," vt.& vi. 使...生气蓬勃,提起精神,恢复精神"
favor," [美]n. 好意,喜爱,偏爱,特权
vt. 给予,关心,偏爱,支持,利于,长得像"
explore," vt. &vi. 探险,探测,探究"
